"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-GameTitleComparatorEqual-record1Value","0-GameTitleComparatorEqual-record2Value","0-GameTitleComparatorEqual-record1PreprocessedValue","0-GameTitleComparatorEqual-record2PreprocessedValue","0-GameTitleComparatorEqual-similarity","0-GameTitleComparatorEqual-postproccesedSimilarity","1-GameTitleComparatorJaccard-record1Value","1-GameTitleComparatorJaccard-record2Value","1-GameTitleComparatorJaccard-record1PreprocessedValue","1-GameTitleComparatorJaccard-record2PreprocessedValue","1-GameTitleComparatorJaccard-similarity","1-GameTitleComparatorJaccard-postproccesedSimilarity","2-GameTitleComparatorLevenshtein-record1Value","2-GameTitleComparatorLevenshtein-record2Value","2-GameTitleComparatorLevenshtein-record1PreprocessedValue","2-GameTitleComparatorLevenshtein-record2PreprocessedValue","2-GameTitleComparatorLevenshtein-similarity","2-GameTitleComparatorLevenshtein-postproccesedSimilarity","3-GamePlatformComparatorEqual-record1Value","3-GamePlatformComparatorEqual-record2Value","3-GamePlatformComparatorEqual-record1PreprocessedValue","3-GamePlatformComparatorEqual-record2PreprocessedValue","3-GamePlatformComparatorEqual-similarity","3-GamePlatformComparatorEqual-postproccesedSimilarity","4-GamePlatformComparatorJaccard-record1Value","4-GamePlatformComparatorJaccard-record2Value","4-GamePlatformComparatorJaccard-record1PreprocessedValue","4-GamePlatformComparatorJaccard-record2PreprocessedValue","4-GamePlatformComparatorJaccard-similarity","4-GamePlatformComparatorJaccard-postproccesedSimilarity","5-GamePlatformComparatorLevenshtein-record1Value","5-GamePlatformComparatorLevenshtein-record2Value","5-GamePlatformComparatorLevenshtein-record1PreprocessedValue","5-GamePlatformComparatorLevenshtein-record2PreprocessedValue","5-GamePlatformComparatorLevenshtein-similarity","5-GamePlatformComparatorLevenshtein-postproccesedSimilarity","6-GameReleaseDateComparator2Years-record1Value","6-GameReleaseDateComparator2Years-record2Value","6-GameReleaseDateComparator2Years-record1PreprocessedValue","6-GameReleaseDateComparator2Years-record2PreprocessedValue","6-GameReleaseDateComparator2Years-similarity","6-GameReleaseDateComparator2Years-postproccesedSimilarity","7-PublisherNameComparatorEqual-record1Value","7-PublisherNameComparatorEqual-record2Value","7-PublisherNameComparatorEqual-record1PreprocessedValue","7-PublisherNameComparatorEqual-record2PreprocessedValue","7-PublisherNameComparatorEqual-similarity","7-PublisherNameComparatorEqual-postproccesedSimilarity","8-PublisherNameComparatorJaccard-record1Value","8-PublisherNameComparatorJaccard-record2Value","8-PublisherNameComparatorJaccard-record1PreprocessedValue","8-PublisherNameComparatorJaccard-record2PreprocessedValue","8-PublisherNameComparatorJaccard-similarity","8-PublisherNameComparatorJaccard-postproccesedSimilarity","9-PublisherNameComparatorLevenshtein-record1Value","9-PublisherNameComparatorLevenshtein-record2Value","9-PublisherNameComparatorLevenshtein-record1PreprocessedValue","9-PublisherNameComparatorLevenshtein-record2PreprocessedValue","9-PublisherNameComparatorLevenshtein-similarity","9-PublisherNameComparatorLevenshtein-postproccesedSimilarity"
"WekaMatchingRule","jpntop_188","vga_games_json954",,,"Mario Party 5","Rise of the Tomb Raider","Ridge Racer V","Tiger Woods PGA Tour 10","0.0","0.0","Mario Party 5","Rise of the Tomb Raider","Mario Party 5","Rise of the Tomb Raider","0.0","0.0","Mario Party 5","Rise of the Tomb Raider","Mario Party 5","Rise of the Tomb Raider","0.17391304347826086","0.17391304347826086","GCN","PS4","GCN","PS4","0.0","0.0","WII","GBA","WII","GBA","0.0","0.0","GCN","PS4","GCN","PS4","0.0","0.0","2003-11-28T00:00","2016-10-11T00:00","2003-11-28T00:00","2016-10-11T00:00","0.0","0.0","Nintendo","Square Enix","Nintendo","Square Enix","0.0","0.0","Nintendo","Square Enix","Nintendo","Square Enix","0.0","0.0","Nintendo","Square Enix","Nintendo","Square Enix","0.18181818181818177","0.18181818181818177"
"WekaMatchingRule","jpntop_114","vga_games_json1286",,,"World Soccer Winning Eleven 10","Stuntman","World Soccer Winning Eleven 10","Stuntman","0.0","0.0","World Soccer Winning Eleven 10","Stuntman","World Soccer Winning Eleven 10","Stuntman","0.0","0.0","World Soccer Winning Eleven 10","Stuntman","World Soccer Winning Eleven 10","Stuntman","0.09999999999999998","0.09999999999999998","PS2","PS2","PS2","PS2","1.0","1.0","PS2","PS2","PS2","PS2","1.0","1.0","PS2","PS2","PS2","PS2","1.0","1.0","2006-04-27T00:00","2002-06-23T00:00","2006-04-27T00:00","2002-06-23T00:00","0.0","0.0","Konami","Atari","Konami","Atari","0.0","0.0","Konami","Atari","Konami","Atari","0.0","0.0","Konami","Atari","Konami","Atari","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","jpntop_189","vga_games_json3452",,,"Phantasy Star Portable","Prince of Persia: The Forgotten Sands","Phantasy Star Portable","Prince of Persia: The Forgotten Sands","0.0","0.0","Phantasy Star Portable","Prince of Persia: The Forgotten Sands","Phantasy Star Portable","Prince of Persia: The Forgotten Sands","0.0","0.0","Phantasy Star Portable","Prince of Persia: The Forgotten Sands","Phantasy Star Portable","Prince of Persia: The Forgotten Sands","0.2702702702702703","0.2702702702702703","PSP","X360","PSP","X360","0.0","0.0","PSP","X360","PSP","X360","0.0","0.0","PSP","X360","PSP","X360","0.0","0.0","2008-07-31T00:00","2010-05-18T00:00","2008-07-31T00:00","2010-05-18T00:00","0.0","0.0","Sega","Ubisoft","Sega","Ubisoft","0.0","0.0","Sega","Ubisoft","Sega","Ubisoft","0.0","0.0","Sega","Ubisoft","Sega","Ubisoft","0.1428571428571429","0.1428571428571429"
"WekaMatchingRule","jpntop_166","vga_games_json9561",,,"Pokemon Mystery Dungeon: Blue Rescue Team","Run for Money CHO Tousouchuu","Pokemon Mystery Dungeon: Blue Rescue Team","Run for Money CHO Tousouchuu","0.0","0.0","Pokemon Mystery Dungeon: Blue Rescue Team","Run for Money CHO Tousouchuu","Pokemon Mystery Dungeon: Blue Rescue Team","Run for Money CHO Tousouchuu","0.0","0.0","Pokemon Mystery Dungeon: Blue Rescue Team","Run for Money CHO Tousouchuu","Pokemon Mystery Dungeon: Blue Rescue Team","Run for Money CHO Tousouchuu","0.2682926829268293","0.2682926829268293","NDS","3DS","NDS","3DS","0.0","0.0","NDS","3DS","NDS","3DS","0.0","0.0","NDS","3DS","NDS","3DS","0.6666666666666667","0.6666666666666667","2005-11-17T00:00","2015-07-09T00:00","2005-11-17T00:00","2015-07-09T00:00","0.0","0.0","Nintendo","Namco Bandai Games","Nintendo","Namco Bandai Games","0.0","0.0","Nintendo","Namco Bandai Games","Nintendo","Namco Bandai Games","0.0","0.0","Nintendo","Namco Bandai Games","Nintendo","Namco Bandai Games","0.16666666666666663","0.16666666666666663"
"WekaMatchingRule","jpntop_114","vga_games_json4548",,,"World Soccer Winning Eleven 10","Jikkyou Powerful Pro Yakyuu 12","World Soccer Winning Eleven 10","Jikkyou Powerful Pro Yakyuu 12","0.0","0.0","World Soccer Winning Eleven 10","Jikkyou Powerful Pro Yakyuu 12","World Soccer Winning Eleven 10","Jikkyou Powerful Pro Yakyuu 12","0.0","0.0","World Soccer Winning Eleven 10","Jikkyou Powerful Pro Yakyuu 12","World Soccer Winning Eleven 10","Jikkyou Powerful Pro Yakyuu 12","0.16666666666666663","0.16666666666666663","PS2","PS2","PS2","PS2","1.0","1.0","PS2","PS2","PS2","PS2","1.0","1.0","PS2","PS2","PS2","PS2","1.0","1.0","2006-04-27T00:00","2005-07-14T00:00","2006-04-27T00:00","2005-07-14T00:00","0.5","0.5","Konami","Konami","Konami","Konami","1.0","1.0","Konami","Konami","Konami","Konami","1.0","1.0","Konami","Konami","Konami","Konami","1.0","1.0"
"WekaMatchingRule","jpntop_139","vga_games_json5316",,,"Super Smash Bros. for Wii U","Turok: Rage Wars","Super Smash Bros. for Wii U","Turok: Rage Wars","0.0","0.0","Dragon Quest VIII: Journey of the Cursed King","Hunter: The Reckoning","Dragon Quest VIII: Journey of the Cursed King","Hunter: The Reckoning","0.1","0.1","Dragon Quest VIII: Journey of the Cursed King","Hunter: The Reckoning","Dragon Quest VIII: Journey of the Cursed King","Hunter: The Reckoning","0.2666666666666667","0.2666666666666667","3DS","XB","3DS","XB","0.0","0.0","3DS","XB","3DS","XB","0.0","0.0","3DS","XB","3DS","XB","0.0","0.0","2015-08-27T00:00","2002-05-21T00:00","2015-08-27T00:00","2002-05-21T00:00","0.0","0.0","Square Enix","Interplay","Square Enix","Interplay","0.0","0.0","Square Enix","Interplay","Square Enix","Interplay","0.0","0.0","Square Enix","Interplay","Square Enix","Interplay","0.09090909090909094","0.09090909090909094"
"WekaMatchingRule","jpntop_222","vga_games_json3021",,,"Mobile Suit Gundam: Encounters in Space","The LEGO Movie Videogame","Mobile Suit Gundam: Encounters in Space","The LEGO Movie Videogame","0.0","0.0","Mobile Suit Gundam: Encounters in Space","The LEGO Movie Videogame","Mobile Suit Gundam: Encounters in Space","The LEGO Movie Videogame","0.0","0.0","Mobile Suit Gundam: Encounters in Space","The LEGO Movie Videogame","Mobile Suit Gundam: Encounters in Space","The LEGO Movie Videogame","0.23076923076923073","0.23076923076923073","PS2","3DS","PS2","3DS","0.0","0.0","PS2","3DS","PS2","3DS","0.0","0.0","PS2","3DS","PS2","3DS","0.0","0.0","2003-04-09T00:00","2014-02-07T00:00","2003-04-09T00:00","2014-02-07T00:00","0.0","0.0","Bandai","Warner Bros. Interactive Entertainment","Bandai","Warner Bros. Interactive Entertainment","0.0","0.0","Bandai","Warner Bros. Interactive Entertainment","Bandai","Warner Bros. Interactive Entertainment","0.0","0.0","Bandai","Warner Bros. Interactive Entertainment","Bandai","Warner Bros. Interactive Entertainment","0.13157894736842102","0.13157894736842102"
"WekaMatchingRule","jpntop_138","vga_games_json3763",,,"The Legend of Zelda: Majora's Mask","Breath of Fire IV","The Legend of Zelda: Majora's Mask","Breath of Fire IV","0.0","0.0","The Legend of Zelda: Majora's Mask","Breath of Fire IV","The Legend of Zelda: Majora's Mask","Breath of Fire IV","0.1","0.1","The Legend of Zelda: Majora's Mask","Breath of Fire IV","The Legend of Zelda: Majora's Mask","Breath of Fire IV","0.20588235294117652","0.20588235294117652","N64","PS","N64","PS","0.0","0.0","N64","PS","N64","PS","0.0","0.0","N64","PS","N64","PS","0.0","0.0","2000-04-27T00:00","2000-11-28T00:00","2000-04-27T00:00","2000-11-28T00:00","1.0","1.0","Nintendo","Capcom","Nintendo","Capcom","0.0","0.0","Nintendo","Capcom","Nintendo","Capcom","0.0","0.0","Nintendo","Capcom","Nintendo","Capcom","0.0","0.0"
"WekaMatchingRule","jpntop_116","vga_games_json1996",,,"Dragon Quest Monsters 2: Cobi's Journey |GameBoy/GameBoy Color/Super GameBoy|","Skylanders SWAP Force","Dragon Quest Monsters 2: Cobi's Journey |GameBoy/GameBoy Color/Super GameBoy|","Skylanders SWAP Force","0.0","0.0","Dragon Quest Monsters 2: Cobi's Journey |GameBoy/GameBoy Color/Super GameBoy|","Skylanders SWAP Force","Dragon Quest Monsters 2: Cobi's Journey |GameBoy/GameBoy Color/Super GameBoy|","Skylanders SWAP Force","0.0","0.0","Dragon Quest Monsters 2: Cobi's Journey |GameBoy/GameBoy Color/Super GameBoy|","Skylanders SWAP Force","Dragon Quest Monsters 2: Cobi's Journey |GameBoy/GameBoy Color/Super GameBoy|","Skylanders SWAP Force","0.1558441558441559","0.1558441558441559","GMB","PS3","GMB","PS3","0.0","0.0","GMB","PS3","GMB","PS3","0.0","0.0","GMB","PS3","GMB","PS3","0.0","0.0","2001-09-03T00:00","2013-10-13T00:00","2001-09-03T00:00","2013-10-13T00:00","0.0","0.0","Enix","Activision","Enix","Activision","0.0","0.0","Enix","Activision","Enix","Activision","0.0","0.0","Enix","Activision","Enix","Activision","0.09999999999999998","0.09999999999999998"
"WekaMatchingRule","jpntop_168","vga_games_json230",,,"Weak English Adult DS Training: More English Pickled","Spyro the Dragon","Weak English Adult DS Training: More English Pickled","Spyro the Dragon","0.0","0.0","Weak English Adult DS Training: More English Pickled","Spyro the Dragon","Weak English Adult DS Training: More English Pickled","Spyro the Dragon","0.0","0.0","Weak English Adult DS Training: More English Pickled","Spyro the Dragon","Weak English Adult DS Training: More English Pickled","Spyro the Dragon","0.15384615384615385","0.15384615384615385","NDS","PS","NDS","PS","0.0","0.0","NDS","PS","NDS","PS","0.0","0.0","WII","XOne","WII","XOne","0.0","0.0","2011-07-21T00:00","2015-06-09T00:00","2011-07-21T00:00","2015-06-09T00:00","0.0","0.0","Nintendo","Bethesda Softworks","Nintendo","Bethesda Softworks","0.0","0.0","Nintendo","Bethesda Softworks","Nintendo","Bethesda Softworks","0.0","0.0","Nintendo","Sony Computer Entertainment","Nintendo","Sony Computer Entertainment","0.18518518518518523","0.18518518518518523"
"WekaMatchingRule","jpntop_180","vga_games_json3387",,,"Paper Mario","NBA 2K2","Paper Mario","NBA 2K2","0.0","0.0","Professor Layton and the Last Specter","A Bug's Life","Professor Layton and the Last Specter","A Bug's Life","0.0","0.0","Professor Layton and the Last Specter","A Bug's Life","Professor Layton and the Last Specter","A Bug's Life","0.1351351351351351","0.1351351351351351","NDS","N64","NDS","N64","0.0","0.0","NDS","N64","NDS","N64","0.0","0.0","NDS","N64","NDS","N64","0.33333333333333337","0.33333333333333337","2009-11-26T00:00","1999-04-30T00:00","2009-11-26T00:00","1999-04-30T00:00","0.0","0.0","Level 5","Activision","Level 5","Activision","0.0","0.0","Level 5","Activision","Level 5","Activision","0.0","0.0","Level 5","Activision","Level 5","Activision","0.09999999999999998","0.09999999999999998"
"WekaMatchingRule","jpntop_130","vga_games_json93",,,"Mega Man Battle Network 4: Blue Moon / Red Sun","Grand Theft Auto V","Mega Man Battle Network 4: Blue Moon / Red Sun","Grand Theft Auto V","0.0","0.0","Mega Man Battle Network 4: Blue Moon / Red Sun","Grand Theft Auto V","Mega Man Battle Network 4: Blue Moon / Red Sun","Grand Theft Auto V","0.0","0.0","Mega Man Battle Network 4: Blue Moon / Red Sun","Grand Theft Auto V","Mega Man Battle Network 4: Blue Moon / Red Sun","Grand Theft Auto V","0.21739130434782605","0.21739130434782605","GBA","XOne","GBA","XOne","0.0","0.0","GBA","XOne","GBA","XOne","0.0","0.0","GBA","XOne","GBA","XOne","0.0","0.0","2003-12-12T00:00","2014-11-18T00:00","2003-12-12T00:00","2014-11-18T00:00","0.0","0.0","Capcom","Rockstar Games","Capcom","Rockstar Games","0.0","0.0","Capcom","Rockstar Games","Capcom","Rockstar Games","0.0","0.0","Capcom","Rockstar Games","Capcom","Rockstar Games","0.2142857142857143","0.2142857142857143"
