"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"ReleaseDate","0.0","ReleaseDate-{vga_games_json12|jpntop_13|Game_List_ID_12}","{2005-11-14T00:00|2005-08-12T00:00|2005-01-01T00:00}","2005-11-14T00:00","false","2005-12-08T00:00"
"Genre","1.0","Genre-{jpntop_599}","{ACT}","ACT",,
"Sales","0.0","Sales-{vga_games_json2256|jpntop_614}","{280000.0|272298.0}","276149.0",,
"Genre","0.0","Genre-{jpntop_29|Game_List_ID_8}","{ETC|Misc}","ETC","false",
"Genre","0.0","Genre-{jpntop_164|Game_List_ID_146}","{ADV|Action}","Action",,
"GameTitle","0.0","GameTitle-{jpntop_482|vga_games_json762|Game_List_ID_11415|Game_List_ID_4453|Game_List_ID_1031}","{Dark Souls III|Dark Souls III|Dark Souls III|Dark Souls III|Dark Souls III}","Dark Souls III",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json7503|Game_List_ID_7183|jpntop_768}","{2015-05-26T00:00|2013-01-01T00:00|2013-11-28T00:00}","2013-11-28T00:00",,
"Publisher","1.0","Publisher-{Game_List_ID_1648|vga_games_json1752|jpntop_445}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json364|Game_List_ID_338|jpntop_279}","{2007-04-09T00:00|2007-01-01T00:00|2007-04-19T00:00}","2007-04-09T00:00",,
"Sales","1.0","Sales-{jpntop_509|vga_games_json3277}","{313304.0|330000.0}","321652.0",,
"Sales","1.0","Sales-{jpntop_164|vga_games_json158}","{757948.0|870000.0}","813974.0",,
"Genre","0.6666666666666666","Genre-{jpntop_120|Game_List_ID_1618|Game_List_ID_420}","{ACT|Platform|Platform}","Platform",,
"Genre","0.0","Genre-{jpntop_50|Game_List_ID_4}","{SPT|Sports}","SPT","false",
"Publisher","0.6666666666666666","Publisher-{jpntop_419|vga_games_json5471|Game_List_ID_5217}","{Bandai Namco Games|Namco Bandai|Namco Bandai Games}","Namco Bandai",,
"Genre","0.0","Genre-{Game_List_ID_4079|jpntop_402}","{Action|ETC}","Action",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json8469|jpntop_853|Game_List_ID_8091}","{2012-03-08T00:00|2012-08-03T00:00|2012-01-01T00:00}","2012-03-08T00:00",,
"GameTitle","0.0","GameTitle-{jpntop_553|vga_games_json1866|Game_List_ID_1765}","{Final Fantasy Tactics: The War of the Lions|Final Fantasy Tactics: The War of the Lions|Final Fantasy Tactics: The War of the Lions}","Final Fantasy Tactics: The War of the Lions",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_96|vga_games_json1688|jpntop_757|Game_List_ID_1588}","{2005-09-15T00:00|2006-01-31T00:00|2008-11-27T00:00|2005-01-01T00:00}","2005-09-15T00:00",,
"Sales","0.0","Sales-{vga_games_json221|jpntop_133}","{950000.0|907821.0}","928910.5",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_585|vga_games_json1191}","{2014-07-24T00:00|2014-03-14T00:00}","2014-03-14T00:00",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json1196|jpntop_171|Game_List_ID_1127}","{2004-10-18T00:00|2004-04-15T00:00|2004-01-01T00:00}","2004-04-15T00:00",,
"Genre","0.6666666666666666","Genre-{Game_List_ID_14065|jpntop_809|Game_List_ID_7315}","{Sports|SPT|Sports}","Sports",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_461|Game_List_ID_5961|vga_games_json3300}","{2016-08-10T00:00|2016-01-01T00:00|2017-09-08T00:00}","2016-08-10T00:00",,
"Publisher","1.0","Publisher-{vga_games_json7148|jpntop_633|vga_games_json2647}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"GameTitle","0.0","GameTitle-{Game_List_ID_1648|vga_games_json1752|jpntop_445}","{Mario Power Tennis|Mario Power Tennis|Mario Power Tennis}","Mario Power Tennis",,
"Publisher","1.0","Publisher-{jpntop_494|vga_games_json488|jpntop_53|Game_List_ID_2369|Game_List_ID_455}","{Nintendo|Nintendo|Nintendo|Nintendo|Nintendo}","Nintendo",,
"GameTitle","0.0","GameTitle-{vga_games_json3076|Game_List_ID_2919|jpntop_534}","{Ace Attorney Investigations: Miles Edgeworth|Ace Attorney Investigations: Miles Edgeworth|Ace Attorney Investigations: Miles Edgeworth}","Ace Attorney Investigations: Miles Edgeworth",,
"Publisher","1.0","Publisher-{jpntop_50|vga_games_json4|Game_List_ID_4}","{Nintendo|Nintendo|Nintendo}","Nintendo","true","Nintendo"
"Genre","0.5","Genre-{jpntop_397|jpntop_504|Game_List_ID_3835|Game_List_ID_1876}","{RPG|RPG|Role-Playing|Role-Playing}","RPG",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json6799|Game_List_ID_6484|jpntop_733}","{2007-12-06T00:00|2007-01-01T00:00|2007-06-12T00:00}","2007-06-12T00:00",,
"Genre","0.75","Genre-{Game_List_ID_1442|Game_List_ID_259|jpntop_753|Game_List_ID_103}","{Role-Playing|Role-Playing|RPG|Role-Playing}","Role-Playing",,
"Sales","1.0","Sales-{jpntop_650|vga_games_json152}","{263424.0|290000.0}","276712.0",,
"Sales","1.0","Sales-{jpntop_341}","{424546.0}","424546.0",,
"Sales","1.0","Sales-{jpntop_174|vga_games_json263}","{724900.0|890000.0}","807450.0",,
"Sales","0.0","Sales-{vga_games_json7117|jpntop_714|vga_games_json7376|jpntop_775}","{250000.0|242129.0|230000.0|223025.0}","236288.5",,
"Genre","0.6666666666666666","Genre-{jpntop_902|Game_List_ID_2789|Game_List_ID_4060}","{STG|Action|Action}","Action",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_1818|vga_games_json1522|jpntop_960}","{2016-01-01T00:00|2016-03-18T00:00|2016-03-18T00:00}","2016-03-18T00:00",,
"Sales","1.0","Sales-{jpntop_90|vga_games_json1480}","{1177045.0|1180000.0}","1178522.5",,
"GameTitle","0.0","GameTitle-{Game_List_ID_5156|vga_games_json4840|jpntop_937}","{Fossil Fighters: Frontier|Fossil Fighters: Frontier|Fossil Fighters: Frontier}","Fossil Fighters: Frontier",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json145|Game_List_ID_1020|jpntop_237|Game_List_ID_134}","{2002-09-16T00:00|2013-01-01T00:00|2002-03-28T00:00|2002-01-01T00:00}","2002-03-28T00:00",,
"Publisher","1.0","Publisher-{jpntop_18|vga_games_json371}","{Nintendo|Nintendo}","Nintendo",,
"Genre","0.0","Genre-{Game_List_ID_13172|jpntop_779}","{Strategy|SLG}","Strategy",,
"Publisher","1.0","Publisher-{Game_List_ID_3662|vga_games_json3861|jpntop_249}","{Enterbrain|Enterbrain|Enterbrain}","Enterbrain",,
"GameTitle","0.0","GameTitle-{jpntop_264|vga_games_json3382|Game_List_ID_3207}","{Monster Hunter 2|Monster Hunter 2|Monster Hunter 2}","Monster Hunter 2",,
"GameTitle","0.0","GameTitle-{vga_games_json2367|jpntop_688|Game_List_ID_2249}","{Kingdom Hearts Re:coded|Kingdom Hearts Re:coded|Kingdom Hearts Re:coded}","Kingdom Hearts Re:coded",,
"Sales","1.0","Sales-{jpntop_957|vga_games_json8001}","{182031.0|200000.0}","191015.5",,
"Sales","1.0","Sales-{jpntop_475}","{332131.0}","332131.0",,
"Sales","1.0","Sales-{jpntop_616|vga_games_json1779}","{271383.0|280000.0}","275691.5",,
"Publisher","1.0","Publisher-{vga_games_json364|Game_List_ID_338|jpntop_279}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"GameTitle","0.0","GameTitle-{jpntop_71|vga_games_json121|Game_List_ID_113}","{Super Smash Bros. Melee|Super Smash Bros. Melee|Super Smash Bros. Melee}","Super Smash Bros. Melee",,
"Publisher","0.0","Publisher-{Game_List_ID_6256|jpntop_842}","{Nintendo|Pokemon Co.}","Nintendo",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_969|vga_games_json7972}","{2012-03-22T00:00|2012-03-22T00:00}","2012-03-22T00:00",,
"GameTitle","0.0","GameTitle-{Game_List_ID_2030|vga_games_json1605|jpntop_214}","{Kirby: Planet Robobot|Kirby: Planet Robobot|Kirby: Planet Robobot}","Kirby: Planet Robobot",,
"GameTitle","0.0","GameTitle-{vga_games_json195|Game_List_ID_179|jpntop_36}","{Final Fantasy IX|Final Fantasy IX|Final Fantasy IX}","Final Fantasy IX",,
"Sales","1.0","Sales-{jpntop_318|vga_games_json756}","{445498.0|470000.0}","457749.0",,
"GameTitle","0.0","GameTitle-{Game_List_ID_12097|vga_games_json3611|jpntop_332|Game_List_ID_3425}","{Tales of Rebirth|Tales of Rebirth|Tales of Rebirth|Tales of Rebirth}","Tales of Rebirth",,
"Genre","0.75","Genre-{Game_List_ID_109|Game_List_ID_546|jpntop_662|Game_List_ID_104}","{Shooter|Shooter|ACT|Shooter}","Shooter",,
"Publisher","0.0","Publisher-{Game_List_ID_14837|jpntop_861}","{Nintendo|Bandai Namco Games}","Nintendo",,
"Sales","1.0","Sales-{vga_games_json4620|jpntop_380}","{40000.0|397693.0}","218846.5",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_957|vga_games_json8001}","{2011-09-29T00:00|2011-09-29T00:00}","2011-09-29T00:00",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_856|jpntop_424|vga_games_json902|Game_List_ID_2105|Game_List_ID_12300}","{2011-01-01T00:00|2011-09-22T00:00|2011-10-04T00:00|2011-01-01T00:00|2012-01-01T00:00}","2011-01-01T00:00",,
"Publisher","0.8","Publisher-{Game_List_ID_6574|Game_List_ID_2100|vga_games_json2703|jpntop_158|Game_List_ID_2557}","{Square Enix|Square Enix|Unknown|Square Enix|Square Enix}","Unknown",,
"Sales","1.0","Sales-{jpntop_916|vga_games_json2543}","{189939.0|200000.0}","194969.5",,
"GameTitle","0.0","GameTitle-{jpntop_80|vga_games_json1223|Game_List_ID_1151|jpntop_101}","{Dragon Quest IV: Chapters of the Chosen|Dragon Quest IV: Chapters of the Chosen|Dragon Quest IV: Chapters of the Chosen|Dragon Quest IV: Chapters of the Chosen}","Dragon Quest IV: Chapters of the Chosen",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json849|jpntop_74|Game_List_ID_798}","{2006-03-20T00:00|2006-04-27T00:00|2006-01-01T00:00}","2006-04-27T00:00",,
"Genre","0.6666666666666666","Genre-{jpntop_195|Game_List_ID_5815|Game_List_ID_1666}","{RPG|Simulation|Simulation}","Simulation",,
"Publisher","0.5","Publisher-{jpntop_270|Game_List_ID_2596|Game_List_ID_10006|vga_games_json2748}","{Namco|Namco Bandai Games|Namco Bandai Games|Namco}","Namco",,
"Publisher","1.0","Publisher-{vga_games_json12|jpntop_13|Game_List_ID_12}","{Nintendo|Nintendo|Nintendo}","Nintendo","true","Nintendo"
"ReleaseDate","0.0","ReleaseDate-{jpntop_891|Game_List_ID_4193}","{2012-09-13T00:00|2012-01-01T00:00}","2012-09-13T00:00",,
"Sales","1.0","Sales-{jpntop_230|vga_games_json774}","{585700.0|910000.0}","747850.0",,
"Genre","0.6666666666666666","Genre-{Game_List_ID_1081|jpntop_785|Game_List_ID_741}","{Action|ADV|Action}","Action",,
"Publisher","0.6666666666666666","Publisher-{vga_games_json98|vga_games_json220|jpntop_238|Game_List_ID_201|jpntop_413|Game_List_ID_90}","{Sega|Sega|Nintendo|Sega|Nintendo|Sega}","Sega",,
"Genre","0.0","Genre-{jpntop_8|Game_List_ID_9}","{ACT|Platform}","ACT","false",
"Genre","0.0","Genre-{jpntop_996|Game_List_ID_7615}","{RPG|Role-Playing}","RPG",,
"Sales","0.0","Sales-{vga_games_json6908|jpntop_795}","{260000.0|218281.0}","239140.5",,
"Publisher","1.0","Publisher-{vga_games_json202|jpntop_218|vga_games_json925}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"Publisher","1.0","Publisher-{jpntop_264|vga_games_json3382|Game_List_ID_3207}","{Capcom|Capcom|Capcom}","Capcom",,
"Sales","1.0","Sales-{jpntop_969|vga_games_json7972}","{180360.0|200000.0}","190180.0",,
"Sales","0.0","Sales-{jpntop_198|vga_games_json6766|jpntop_887}","{650514.0|250000.0|196394.0}","365636.0",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json3474|jpntop_607|Game_List_ID_3304}","{2009-02-16T00:00|2008-07-08T00:00|2008-01-01T00:00}","2008-07-08T00:00",,
"Sales","1.0","Sales-{jpntop_70|vga_games_json89}","{1508134.0|1580000.0}","1544067.0",,
"GameTitle","0.0","GameTitle-{jpntop_160|Game_List_ID_830|vga_games_json877}","{Kingdom Hearts: Birth by Sleep|Kingdom Hearts: Birth by Sleep|Kingdom Hearts: Birth by Sleep}","Kingdom Hearts: Birth by Sleep",,
"GameTitle","0.0","GameTitle-{jpntop_223|Game_List_ID_688|vga_games_json711}","{Paper Mario: Sticker Star|Paper Mario: Sticker Star|Paper Mario: Sticker Star}","Paper Mario: Sticker Star",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json62|Game_List_ID_2373|Game_List_ID_37|vga_games_json2503|jpntop_699|Game_List_ID_57}","{2009-11-10T00:00|2009-01-01T00:00|2009-01-01T00:00|2009-11-10T00:00|2009-10-12T00:00|2009-01-01T00:00}","2009-01-01T00:00",,
"Sales","0.0","Sales-{jpntop_196|vga_games_json1410}","{654057.0|540000.0}","597028.5",,
"Publisher","1.0","Publisher-{Game_List_ID_14253|Game_List_ID_13026|vga_games_json6172|jpntop_598|Game_List_ID_5877}","{Sega|Sega|Sega|Sega|Sega}","Sega",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_263|vga_games_json1185|Game_List_ID_1115}","{2005-06-10T00:00|2005-10-18T00:00|2005-01-01T00:00}","2005-06-10T00:00",,
"Genre","0.0","Genre-{jpntop_730|Game_List_ID_1314}","{SPT|Sports}","SPT",,
"GameTitle","0.0","GameTitle-{vga_games_json3232|jpntop_201}","{Taiko no Tatsujin Wii: Super Deluxe Edition|Taiko no Tatsujin Wii: Super Deluxe Edition}","Taiko no Tatsujin Wii: Super Deluxe Edition",,
"Sales","0.0","Sales-{jpntop_232|vga_games_json3711}","{585291.0|570000.0}","577645.5",,
"Publisher","1.0","Publisher-{vga_games_json133|jpntop_61|Game_List_ID_125}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"Genre","0.0","Genre-{jpntop_188|Game_List_ID_812}","{ETC|Misc}","ETC",,
"GameTitle","0.0","GameTitle-{jpntop_155|vga_games_json295|Game_List_ID_271}","{Metal Gear Solid 3: Snake Eater|Metal Gear Solid 3: Snake Eater|Metal Gear Solid 3: Snake Eater}","Metal Gear Solid 3: Snake Eater",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_3078|vga_games_json3250|jpntop_224}","{2003-01-01T00:00|1920-12-31T00:00|2003-03-29T00:00}","1920-12-31T00:00",,
"GameTitle","0.0","GameTitle-{Game_List_ID_3519|Game_List_ID_2295|jpntop_884|vga_games_json2405}","{Xenoblade Chronicles|Xenoblade Chronicles|Xenoblade Chronicles|Xenoblade Chronicles}","Xenoblade Chronicles",,
"GameTitle","0.0","GameTitle-{vga_games_json6602|Game_List_ID_6337|jpntop_698}","{Sengoku Basara 4|Sengoku Basara 4|Sengoku Basara 4}","Sengoku Basara 4",,
"GameTitle","0.0","GameTitle-{vga_games_json3330|Game_List_ID_3167|jpntop_953}","{New Play Control! Pikmin|New Play Control! Pikmin|New Play Control! Pikmin}","New Play Control! Pikmin",,
"Genre","0.8333333333333334","Genre-{Game_List_ID_913|jpntop_912|Game_List_ID_1762|Game_List_ID_311|Game_List_ID_132|Game_List_ID_78}","{Role-Playing|RPG|Role-Playing|Role-Playing|Role-Playing|Role-Playing}","Role-Playing",,
"Genre","0.0","Genre-{jpntop_754|Game_List_ID_3327}","{RPG|Role-Playing}","RPG",,
"Publisher","0.0","Publisher-{Game_List_ID_1603|jpntop_781}","{Nintendo|Pokemon Co.}","Nintendo",,
"Genre","0.6666666666666666","Genre-{jpntop_81|Game_List_ID_1195|jpntop_62}","{RPG|Role-Playing|RPG}","RPG",,
"Genre","0.0","Genre-{Game_List_ID_5042|jpntop_588}","{Simulation|ETC}","Simulation",,
"Sales","1.0","Sales-{jpntop_926|vga_games_json4141}","{187509.0|200000.0}","193754.5",,
"Sales","0.0","Sales-{vga_games_json354|jpntop_132}","{1050000.0|916797.0}","983398.5",,
"Sales","1.0","Sales-{vga_games_json54|jpntop_46}","{2150000.0|2187063.0}","2168531.5","true","2150000.0"
"Genre","1.0","Genre-{jpntop_201}","{ACT}","ACT",,
"Publisher","1.0","Publisher-{vga_games_json6602|Game_List_ID_6337|jpntop_698}","{Capcom|Capcom|Capcom}","Capcom",,
"GameTitle","0.0","GameTitle-{Game_List_ID_1081|Game_List_ID_351|vga_games_json383|vga_games_json1149|jpntop_355|Game_List_ID_14743|jpntop_785|Game_List_ID_741}","{Resident Evil 4|Resident Evil 4|Resident Evil 4|Resident Evil 4|Resident Evil 4|Resident Evil 4|Resident Evil 4|Resident Evil 4}","Resident Evil 4",,
"GameTitle","0.0","GameTitle-{jpntop_284|vga_games_json2238|Game_List_ID_2102}","{Apollo Justice: Ace Attorney|Apollo Justice: Ace Attorney|Apollo Justice: Ace Attorney}","Apollo Justice: Ace Attorney",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_939|vga_games_json6893}","{2008-10-16T00:00|2010-05-04T00:00}","2010-05-04T00:00",,
"Genre","0.0","Genre-{Game_List_ID_3496|jpntop_678}","{Role-Playing|SLG}","Role-Playing",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_483|Game_List_ID_3174|vga_games_json3347}","{2006-01-26T00:00|2006-01-01T00:00|2006-03-07T00:00}","2006-01-26T00:00",,
"Publisher","1.0","Publisher-{jpntop_284|vga_games_json2238|Game_List_ID_2102}","{Capcom|Capcom|Capcom}","Capcom",,
"Genre","0.0","Genre-{jpntop_724|Game_List_ID_997}","{ETC|Misc}","ETC",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_3519|Game_List_ID_2295|jpntop_884|vga_games_json2405}","{2015-01-01T00:00|2010-01-01T00:00|2010-10-06T00:00|2012-04-06T00:00}","2010-10-06T00:00",,
"Publisher","1.0","Publisher-{vga_games_json3330|Game_List_ID_3167|jpntop_953}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"Sales","1.0","Sales-{vga_games_json6239|jpntop_498}","{300000.0|320322.0}","310161.0",,
"Publisher","1.0","Publisher-{Game_List_ID_5156|vga_games_json4840|jpntop_937}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"Publisher","1.0","Publisher-{jpntop_165|Game_List_ID_250|vga_games_json231}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"GameTitle","0.0","GameTitle-{Game_List_ID_7014|Game_List_ID_6148|jpntop_762}","{Hatsune Miku: Project Diva f|Hatsune Miku: Project Diva f|Hatsune Miku: Project Diva f}","Hatsune Miku: Project Diva f",,
"Sales","0.0","Sales-{vga_games_json917|jpntop_416}","{420000.0|368080.0}","394040.0",,
"Sales","1.0","Sales-{jpntop_781}","{221648.0}","221648.0",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_1716|vga_games_json1813|jpntop_401}","{2006-01-01T00:00|2006-12-05T00:00|2006-12-21T00:00}","2006-12-05T00:00",,
"Sales","1.0","Sales-{jpntop_326|vga_games_json942}","{435427.0|510000.0}","472713.5",,
"Publisher","1.0","Publisher-{jpntop_553|vga_games_json1866|Game_List_ID_1765}","{Square Enix|Square Enix|Square Enix}","Square Enix",,
"GameTitle","0.0","GameTitle-{jpntop_623|Game_List_ID_2366|vga_games_json2489}","{Fossil Fighters|Fossil Fighters|Fossil Fighters}","Fossil Fighters",,
"Sales","1.0","Sales-{jpntop_78|vga_games_json105}","{1345198.0|1390000.0}","1367599.0",,
"Genre","0.0","Genre-{jpntop_362|Game_List_ID_1205}","{RPG|Role-Playing}","RPG",,
"GameTitle","0.0","GameTitle-{jpntop_215|vga_games_json60|Game_List_ID_56}","{Gran Turismo 5|Gran Turismo 5|Gran Turismo 5}","Gran Turismo 5",,
"ReleaseDate","0.0","ReleaseDate-{vga_games_json2494|vga_games_json839|jpntop_293|Game_List_ID_784}","{2003-09-08T00:00|2003-09-08T00:00|2003-02-14T00:00|2003-01-01T00:00}","2003-09-08T00:00",,
"Genre","0.0","Genre-{Game_List_ID_1887|jpntop_257}","{Adventure|ADV}","Adventure",,
"Genre","0.6","Genre-{Game_List_ID_9798|Game_List_ID_7913|jpntop_713|Game_List_ID_8174|jpntop_751}","{Sports|Sports|SPT|Sports|SPT}","Sports",,
"GameTitle","0.0","GameTitle-{Game_List_ID_3662|vga_games_json3861|jpntop_249}","{Derby Stallion 04|Derby Stallion 04|Derby Stallion 04}","Derby Stallion 04",,
"Genre","0.0","Genre-{Game_List_ID_6831|jpntop_104}","{Sports|SPT}","SPT",,
"Genre","0.8333333333333334","Genre-{Game_List_ID_1549|Game_List_ID_8144|Game_List_ID_3264|Game_List_ID_7030|jpntop_459|Game_List_ID_2765}","{Role-Playing|Role-Playing|Role-Playing|Role-Playing|RPG|Role-Playing}","Role-Playing",,
"GameTitle","0.0","GameTitle-{vga_games_json860|jpntop_313}","{Kirby's Epic Yarn|Kirby's Epic Yarn}","Kirby's Epic Yarn",,
"Publisher","1.0","Publisher-{vga_games_json1063|Game_List_ID_993|jpntop_126}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"Genre","0.75","Genre-{jpntop_700|Game_List_ID_6556|Game_List_ID_6820|Game_List_ID_10259}","{ACT|Action|Action|Action}","Action",,
"Genre","0.0","Genre-{Game_List_ID_7218|jpntop_972}","{Strategy|TBL}","Strategy",,
"Publisher","1.0","Publisher-{Game_List_ID_2063|jpntop_112|vga_games_json2191}","{Sega|Sega|Sega}","Sega",,
"GameTitle","0.0","GameTitle-{Game_List_ID_4413|Game_List_ID_297|vga_games_json325|jpntop_137}","{World Soccer Winning Eleven 9|World Soccer Winning Eleven 9|World Soccer Winning Eleven 9|World Soccer Winning Eleven 9}","World Soccer Winning Eleven 9",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_3116|jpntop_773|vga_games_json3291}","{2004-01-01T00:00|2004-09-12T00:00|2005-06-13T00:00}","2004-09-12T00:00",,
"Genre","0.0","Genre-{jpntop_627|Game_List_ID_6055}","{ACT|Misc}","ACT",,
"GameTitle","0.0","GameTitle-{jpntop_905|vga_games_json7511|Game_List_ID_7162}","{Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack|Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack|Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack}","Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack",,
"GameTitle","0.0","GameTitle-{jpntop_151|Game_List_ID_2134|vga_games_json2271}","{Tamagotchi Connection: Corner Shop 2|Tamagotchi Connection: Corner Shop 2|Tamagotchi Connection: Corner Shop 2}","Tamagotchi Connection: Corner Shop 2",,
"ReleaseDate","0.0","ReleaseDate-{Game_List_ID_13908|Game_List_ID_8003|jpntop_933|vga_games_json8372}","{2007-01-01T00:00|2006-01-01T00:00|2006-11-16T00:00|2007-02-27T00:00}","2007-02-27T00:00",,
"Publisher","0.6666666666666666","Publisher-{Game_List_ID_1231|vga_games_json1298|jpntop_410}","{Namco Bandai Games|Namco Bandai|Bandai Namco Games}","Namco Bandai",,
"Publisher","0.5","Publisher-{jpntop_96|vga_games_json1688|jpntop_757|Game_List_ID_1588}","{Bandai|Bandai|Bandai Namco Games|Atari}","Atari",,
"Sales","0.0","Sales-{vga_games_json819|jpntop_321}","{470000.0|444005.0}","457002.5",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_261|Game_List_ID_652|vga_games_json703|Game_List_ID_6293}","{2004-05-02T00:00|2003-01-01T00:00|2003-12-04T00:00|2004-01-01T00:00}","2003-12-04T00:00",,
"Sales","1.0","Sales-{jpntop_661|vga_games_json63}","{257649.0|440000.0}","348824.5",,
"ReleaseDate","0.0","ReleaseDate-{jpntop_142|Game_List_ID_2818|Game_List_ID_583|vga_games_json622}","{2011-12-15T00:00|2011-01-01T00:00|2011-01-01T00:00|2012-01-31T00:00}","2011-01-01T00:00",,
"GameTitle","0.0","GameTitle-{jpntop_120|Game_List_ID_1618|Game_List_ID_420|vga_games_json424}","{Super Mario Maker|Super Mario Maker|Super Mario Maker|Super Mario Maker}","Super Mario Maker",,
"Genre","0.0","Genre-{Game_List_ID_4655|jpntop_305}","{Misc|ACT}","ACT",,
"Genre","1.0","Genre-{jpntop_862}","{ACT}","ACT",,
"Sales","1.0","Sales-{jpntop_194|vga_games_json967}","{659975.0|650000.0}","654987.5",,
"Publisher","1.0","Publisher-{jpntop_185|Game_List_ID_1410|vga_games_json1505}","{Nintendo|Nintendo|Nintendo}","Nintendo",,
"GameTitle","0.0","GameTitle-{jpntop_165|Game_List_ID_250|vga_games_json231}","{Super Mario 3D World|Super Mario 3D World|Super Mario 3D World}","Super Mario 3D World",,
"Sales","0.6666666666666666","Sales-{vga_games_json1372|vga_games_json2273|jpntop_291}","{520000.0|510000.0|491694.0}","507231.3333333333",,
"GameTitle","0.0","GameTitle-{Game_List_ID_816|vga_games_json874|jpntop_202}","{Mario Sports Mix|Mario Sports Mix|Mario Sports Mix}","Mario Sports Mix",,
